rating,date,content
3.0,2020.02.19,"The film is interesting, but that's about it. The first hour was really slow, the whole class thing seemed quite familiar. I'm not sure why people are falling over themselves about this film, maybe since it was Korean yet with an accessible story and familiar film language that it suddenly moved westerners to 'see the light'? Anyway, the second half twists and turns struck me more as a wacky story line I would have seen on a soap opera back in the day like Young and the Restless or Days of our Lives. Overall, I'm more critical of the critics than of the film. I recommend seeing this, it's worth a look but all the Oscars and 'best film of the decade' stuff is incomprehensible."
5.0,2019.11.05,"Do you want to see a movie that will have your stomach in knots, anxious during many scenes? Do you want to see a movie that will have you conflicted on who you're rooting for? Regardless of your answers, see Parasite. Parasite ticks along quietly until it is booming in your ears. The symbolism varies. Sometimes it is obvious, Bong Joon-ho might as well have made the subtitles spell it out. But other times it is more subtle, and you might realize a connection or symbolism days or weeks after. Bong Joon-ho is a master at that. The conversation that it sparks is worth the $13-20 it costs to see the film. Parasite has made me think more than most films I've seen. Give it a watch, see it with friends or family and the dinner table will have a conversation overflowing with opinions and realizations."
3.0,2020.04.10,"1.This movie is too over rated, I don't know, maybe it is something wrong with me because so many people appreciates this film superlatively...

2. All the characters are pathetically unlikable. They only show flaws. You don't want to be them; you don't want to be with them ... not at the beginning, nor in the middle, nor in the end.

3. This lowlife 4-member family was at bay and struggled to a barely survived condition, the husband/father was unemployed for a very long time, the wife was nothing but a mean heartless woman, the son and the daughter had failed the college entry exams for so many times. This helpless and hopeless family couldn't simply become a well practiced con-artist family overnight. If they were such great scammers, they would not have fallen so low and so helpless for such a long time. They don't have money to afford a dignified basic living standard. They would not be possible to suddenly become expert con-artist so easy and so soon.

4. I don't understand what the intention of the director is? What does he want to explain or to prove? Is it a critic of social inequalities? Is it a thriller? A comedy? I don't know and none of these styles is addressed adequately."
2.5,2020.02.27,"There are a few suspenseful scenes and a decent plot, along with comedic dialogue, but that's it. It's not a ""metaphorical masterpiece"" that some critics and users are saying. I feel as though too many people are trying to be expert critics like on that episode of South Park where the entire town writes crazy yelp reviews for all the restaurants."
,2020.08.16,"A poor family see an opportunity whenever their son starts tutoring English for a wealthy family - if they can engineer it, they can each get one of the jobs within the household. This is the basis for a film that starts out as a sort of con story, seeing the rich family as the 'marks'. As it plays out though, it keeps this assumption in the background, eating at the viewer as an idea, before then making it very relevant in the closing aspects of the plot. Between the start and then, the focus is on the various twists and turns of the drama itself. In this the film engages, and I found it easy to engage with it on the basis of what was happening.

The later develops do work better though when viewed in the context of the social aspect. There are lots of clever critics that can talk to you about the meaning and hidden depths of commentary from the film; for me the key one was the falseness of the 'con' itself. Although the family mock the gullibility of the rich family, it is not like they are stealing money from them, or somehow dislodging them from their position in life - no, they are just providing labour to them in exchange of comparatively low wages. They are doing this at the expense of other working people just trying to keep a job, and the rich family could probably not care less about the 'truth' as long as their needs continue to be met. This aspect is important for the direction of the later stages of the film, and adds sense to what happens and why, but it is interesting in and of itself. Technically the film looks great, and the director builds mood and tone well. Performances are strong across all the cast, but the turn from Song Kang Ho probably was my favourite as he was the most subtle and had the most space to shift across the running time.

There is a lot of talk for Oscar recognition, but it is a handsome, clever film and the timing in the year is right - I don't see it being the first foreign language film to win best picture, but this is more to do with the system than with the film. Regardless of awards or not, it is an engaging drama, with unusual developments, and built on top of an intelligent social aspect which links well to the direction of the narrative."
5.0,2020.11.01,"PARASITE is an excellent effort from Korean director Bong Joon Ho, a talent I've long admired since seeing THE HOST over a decade ago. He's had his ups and downs over the years, although they've generally been ups rather than downs, but this is perhaps his towering masterpiece. It's a quiet and reflective work, his maturist yet, a parable playing out which looks at class divide in a scathing and extremely telling way. The issue is universal, which is why this film did so well abroad (and at the Oscars), although I've been championing the quality of South Korean cinema for a long time. The technical qualities are exemplary and the acting is particularly astounding, with an unusual storyline building to an unexpected climax. A film that thoroughly entertains as well as making you think."
4.5,2020.01.16,"This is a movie about a class struggle in South Korea, like what movie ""Us"" attempts to do but done properly. It is a stark reminder of what true living standards for most South Koreans look like, and its realism is very painful. Few are aware of the fact that up to the 1980s, South Korea was in fact more impoverished than North Korea, and it was only late that the situation reversed with famines of the 90s etc, but many people still live miserable lives, and situation is very similar to that in China, where a few got gloriously rich but the urban masses still live in bug infested cheap dwellings.

Some crafty members of this underclass manage to con contemptuous rich man into employing them as his servants. For many Asians smell is a way to express utter contempt, and this is often directed against the white people, who, being able to process milk, smell ""like butter"" and are seen in rac ist light as unclean, but the same rac ist contempt is directed towards the poor. The poor accept these valuations and fight for the crumbles, like roaches in the dark, but in life and death situations, resentment might boil up and the contempt might cost the rich their empty heads.

The movie paints a sad picture of modern East Asian societies, with many subtle points, criticizes their culture and emulation of the America, with a few cruel but precise strokes. The sheer talent of the Korean filmmaker, but also the fact that West likes movies from foreign countries that are self bashing, allowing the worst condescension rooted in colonialism that failed miserably in East Asia to thrive, one more reason to cheer this slightly overrated movie."
4.5,2020.01.30,"""It's so metaphorical"" is what Kevin says when they show him Da-Song's paint, he makes a statement without knowing absolutely nothing about what he is talking about, most critics of this movie say exactly that ""It's so metaphorical"" obviously Most know what you are talking about, when writing something about a movie I have to be 100% sure that I have understood.

""It's so metaphorical"" This comment on this movie is quite fair and precise; Parasite is built on the basis of visual symbolism that for some it will be an easy task to find them and for others a little more difficult because it also does not put this type of visual metaphors in the foreground, sometimes leaves it to the public's interpretation and in others simply play with the camera and film techniques to tell us the story, a clear example is the first time Kevin visits the Park house, the house is shown in a low-angle shot from the ground showing the superiority of the house and the environment over the character, the rain scene in the middle of the movie is simply wonderful: the family plummets to its miserable reality and the camera descends in a peculiar way, as there are many examples throughout the film; the fight over the cell phone in the Park house looks like an animal fight, the shots in the Kim's house are closed and in the immense Park house they are open and wide, a lot of voyeuristic Hitchcokian shots and provocateurs of vertigo, the symbolic use of the stairs throughout the film, something quite coherent since the film speaks especially about the socioeconomic classes and the social and race stairs, are some simply steps over others. Who are the real Parasites? the Kims or the Parks? the film plays with this question and leaves the answer to the interpretation, the Kim who represent the great majority of the poor class in Korea and in the world act as parasites that will gradually owe the class that is above them, taking advantage of the comforts that it offers them without any difficulty, living under the ground and in precarious conditions, but on the other hand the Park are practically useless beings, there is nothing they can do: their children are educated by others, their clothes are ironed and washed by others and their food is made by others.

Kim's family at least shows that Kevin is good at Languages, even better than many college students, his sister has great skills that lead her to create the perfect plan, even she manages to do what no sophisticated teacher did; control and support Da-Song, but due to their poverty their hopes that they can take advantage of this kind of talent are minimal. The final shot of the movie plays with us and gives the perfect blow to culminate this story: Kevin writes a letter to his dad that he probably won't be able to read, while he has a dream, after the dream the shot is the same that of the beginning, he It shows the exterior of the house from the basement this time without sun, showing that he it is where it began and that now its life is dark and empty of hopes."
5.0,2019.11.04,"This movie is so masterfully written and presented with a large cast that older audiences will realize how rare movies like this have become. Its enjoyment comes from getting to know the members of two extremely different families, one very poor, the other very rich. How their lives come together is the wickedly enjoyable first half; then, in the second half the house of cards begins to shake and finally collapse with a fury we both dread - and perhaps even enjoy. Though our enjoyment probably has as much to do with the movie-making skills than with the nasty turn of events in the violent final scenes. If you see only one foreign language film this year, this should be it. Exciting and provocative throughout, it is wonderfully acted and packed with significance for all who live in a polarized society where so many live in luxury, while others live in comparative squalor just a few blocks away. Deserves all the accolades it has already - and surely will continue - to receive."
4.0,2019.12.28,"There is no shortage of films that depict the injustice of social inequality but originality is scarce. With a large proportion of its population below the poverty line, it is noteworthy that a filmmaker from South Korea has produced a work that has attracted almost universal acclaim. Parasite (2019)generates a great deal of conversation but be warned: it is not a film for everyone, especially those averse to gory endings.

If you step back from the story's twists and turns, the narrative premise is simple. A family of petty crooks living in abject poverty get lucky as, one by one, each tricks their way into being employed by the same heartlessly wealthy family in roles like tutor, driver, and housekeeper. The gullible family is easy to deceive, while the crooks manufacture various scenarios to their own advantage. The occupation of the luxurious home by the crooks adds a new meaning to the concept of home invasion. However, the plan comes un-stuck when they find a secret dungeon that leads to horrific consequences.

The film takes too much time in developing the central premise and various sub-plots, and more descriptive prose could be offered here about what actually happens. But that is not the point of the film. Director Joon-ho Bong paints an intricate portrait of the normalisation of poverty and class privilege, with both sets of family never questioning their place in South Korea's social order. This acceptance and its destructiveness of the human spirit makes change impossible and condemns Korean society to moral bankruptcy.

There is more to this film than political discourse. As a black comedy, it is sprinkled with funny although improbable moments and the filming style expresses the polemic in obvious ways. Juxtaposing the world occupied by a smelly cramped underclass with the opulent world of the rich is low-hanging fruit. One can also find elements of magical fantasy, as it requires an unequivocal suspension of disbelief to accept that a family of losers can so easily dupe a family of high achievers. The acting tends towards wooden, and it is difficult to warm to any particular character. The film's climax offers little other than an ambivalent balance between hope and nihilism, leaving viewers to decide which family are the parasites.

For many, the critical pendulum swings towards the 'masterpiece' label. But it is perhaps closer to reality to describe this as an original, engaging, and disturbing tale of endemic class tension, oppression, and helplessness. Although tenuous, the message has universal relevance."
4.5,2019.08.17,"What an amazing film! Clearly an essay on the class divide. Writing lovable but nasty people is tough, but perfectly executed here.

They quite clearly cross the line, and when I mean ""they"" I mean bother the working class and the upper class. You could easily argue that ""parasite"" refers to one family trying to suck another family dry. Or that the upper class is draining the labour of the lower class, and expecting them to be grateful about it too! There is also something about the American Indian theme, a metaphor for dying cultural traditions which are being replaced by modernity? Nature is dog eat dog? Or is it a homage to an ""idyllic"" past where Native American culture was relatively classless?

Either way a must watch if you can handle subtitles!"
3.0,2020.03.04,"This film doesn't allow easy reviewing because it has many aspects, many ways to look at. Is it thriller? Comedy? Drama? Societal critique? It's all of it; and therefore none of it. All in all, I was underwhelmed and mildly frustrated.

The style is there, I grant it. Cinematography is great. Acting is awkward at some points, but it's OK because of the partially comedy-like nature of this film.

But then, there is a problem with story telling. It builds up nicely toward the middle, where the parasites settle in their host and discover the secret down below. And then it makes an unexpected turn. It's alright to make a surprise at the end (I'd even say it's good), as long as it flows reasonably from the preceding story line. A reveal must make sense once it is revealed. This one didn't do the job convincingly for me. We are given very little clue about why people acted the way they did at the birthday party.

This film is just fine, but no masterpiece in my opinion. Some films are so easy to understand to the point of being insulting; others are so obscure to the point of being pointless. Great films do it just right somewhere in this spectrum. Unfortunately, this one is leaning to the pointlessness."
4.0,2020.02.03,"Parasite (2019)

With the hype around this movie (""best in ten years"") I had unreasonable expectations. This is a funny, almost silly story with great acting, and with a couple of twists that make it inventive. It's also filmed (photographed) with gorgeous care, lots of gently moving camera, a lot of planning of shots from one to the next to tell the story visually. It's an example of classic great moviemaking. I thought the acting was especially sharp, like the complex job the leading woman, Yeo-jeong Jo, had of seeming a bit ditzy and selfish and yet not completely lost at sea. And the rest of the cast played types that didn't tumble into stereotypes. The story was smart enough to give them room to be complex, but this isn't a probing complex movie, actually. The content is in the improbable situation and how it leads, almost in a Chaplin-like building of absurdities, to comic tension. The cameraman, Kyung-pyo Hong, deserves credit, for sure, because he holds the visual structure together in a range of scenes-racing down dingy steps, a downpour in the slums, and graceful geometry in the fabulous house. Director Bong Joon Ho deserves the praise he is getting. That said, the next thoughts are more a reaction to the praise it's been getting: there are more impressive movies out there in various ways. Even just this year there are movies that have movied me more, or made me laugh more, or were more inventive. (I'm not naming movies.) Maybe since this movie manages all three it's notable, but I'll keep my admiration in place! Enjoy it!"
3.5,2020.04.12,"It was entertaining, with good execution. But best picture?

Some people seem to love the fact that it switches masterfully between genres, which to me seems like something that would excite a movie geek or critic more than it would a regular viewer.

Others delight in the ambiguity of not quite knowing whom to root for - while that might distinguish it from a stereotypical ""american"" narrative it hardly elevates it to some exalted status. To its credit, I think the strongest feature of the film is that the director brilliantly manipulates the viewer's emotions by superimposing classically sympathetic elements onto the objectively non-virtuous and indeed villainous. What seems relatable and sympathetic in the moment is actually part of a pattern of deeply objectionable behavior, while what seems moderately dislikable is actually fairly mundane. This incongruity is layered on to brilliant effect.

Now, many are praising the supposedly deep, revelatory social commentary on the nature of class struggle, but I don't find it nearly as profound as is claimed. The overtly sensational, absurd plot if anything detracts from the relatability of a social message, and the storyline (even leaving aside the over-the-top scenes that are exaggerated for cinematic effect) is chock full of innumerable ordinary lapses, discontinuities and implausibilities to the point of distraction. More importantly, the characters are all minimally developed and characteristic of a one-sided view of the world in which people act out their base grievances and fantasies over a veneer of class-determinant normalcy. It strikes me that there is little to no consideration of virtue, even in momentary antithesis. Yet if this is the social revelation then it is a deeply cynical one, and also an implausible one because the world is not so one-sided and simple. For this reason, the film ends up revealing very little realistic insight into the human character or social dynamics. It is not a bad film as it is well executed and clever in its emotional manipulation, but I am not willing to dole out gushing praise."
2.5,2019.12.31,"This movie is not a ""masterpiece"" by any means. And all the apparent hype it's getting? Why? Is it because this is a foreign film trying to be an ""American film""? (That is, trying to be an American ""genre"" film?)

THE GOOD:
The actors are good.
Some good cinematography. Definitely some cool scenes, like the flooding late in the film.
The twist near the middle of the film is a good twist. However, it's like 50 minutes in, and it's too late. The film is semi-boring up to that point.


THE BAD:
We've all seen those less-than-stellar films, where the criminals make one stupid horrible decision after another. Not the comedies where it's supposed to be funny or dumb, but the serious films. And you sit there thinking, ""Man, these criminals are effing morons, it's just NOT believable. You've seen those, right? Well, this is one of those.


I could suspend my disbelief over one bad decision, even two. But every single one? It's just not believable, because the criminals are good at pulling off their cons and getting all employed by the wealthy family. But once they're all in and making buck... then they all become stupid? Doesn't work.

The bad decisions start when the wealthy family goes camping, and the criminals decide to hang out, get drunk and make a mess in the wealthy family's living room. Even one of them foreshadows the wealthy family coming home unexpectedly by mentioning it as a ""what if."" Next bad decision is they let in the former housekeeper who shows up unexpectedly. Really??

Then the next bad decision is how they handle the housekeeper and her husband. Once the criminals are being held hostage by the threat of disclosure, why wouldn't even just one of them think of trying to negotiate something? Oh, sure, one of them eventually does, but like 30 minutes later when it's too late.

The film feels too slow until we get to the twist in the story. Twist should really have happened within maybe first 30 minutes. Not halfway through the movie. And then, when it does happen, we're down the road of the criminal family making multiple bad decisions.

Minor point, but the housekeeper's husband who's been living under the house for something like 4 years, looked too healthy. Someone living in cave-like conditions for 4 years with no sun, is not going to look healthy.

All in all, not the worst film I've ever seen, but NOT deserving of the high praise and ratings it's getting here. And not deserving of the Academy Award for Best Picture. Sorry."
,2020.02.09,"In my latest IMDb review, I wrote the following;

""1917 is British director Sam Mendes' latest opus. I also believe that it is the next Best Picture, and that he is worthy of his second Academy Award statuette for directing.""

Don't get me wrong, 1917 is a splendid and absorbing war movie. But after watching Parasite, I no longer agree with my earlier statements regarding Oscar statuettes ...

Parasite is perhaps one of the most unique films I have ever seen. One second, it is a hilarious comedy, and in the other, a terrifying horror flick. Suddently, it turns into a romance and then you find yourself watching a jaw-dropping thriller. The greatest thing about it, is that you don't even notice these dynamic changes in genre. The natural flow of the movie is just so beautiful.

I don't even know how Joon-ho was able to craft such a film as Parasite. No single shot is wasted, the intelligent script is baffling and sometimes the characters feel even more alive than real people.

Some complain over the fact that the film is in Korean, and that you end up reading the subtitles more than watching the actual movie. I find that statement to be nonsense. Maybe it is because I am quite used to reading subtitles that I find it to be so (I am from Sweden), but perhaps also because the acting is just so good that you know the feelings of each character just by looking at their facial expressions.

To conclude, I wish for Parasite to win five out of six possible nominations at the Academy Awards tonight;

Best picture: Sin-ae Kwak, Bong Joon Ho

Best Achievement in Directing: Bong Joon Ho

Best Original Screenplay: Bong Joon Ho, Jin Won Han

Best Achievement in Film Editing: Jinmo Yang

Best International Feature Film South Korea

I believe that Once Upon a Time ... in Hollywood had better sets, but in all honesty, what is it compared to Parasite ?

I would not hesitate to put it in my top 10 best movies which I have ever seen. And, it is probably, the greatest movie of the 2010's. Read no further about it, just watch it. You will be delighted.

10/10"
