content,rating,date,source_site
do you want to see a movie that will have your stomach in knots anxious during many scenes do you want to see a movie that will have you conflicted on who youre rooting for regardless of your answers see parasite parasite ticks along quietly until it is booming in your ears the symbolism varies sometimes it is obvious bong joonho might as well have made the subtitles spell it out but other times it is more subtle and you might realize a connection or symbolism days or weeks after bong joonho is a master at that the conversation that it sparks is worth the 1320 it costs to see the film parasite has made me think more than most films ive seen give it a watch see it with friends or family and the dinner table will have a conversation overflowing with opinions and realizations,5.0,2019-11-05,imdb
"it was entertaining with good execution but best picture

some people seem to love the fact that it switches masterfully between genres which to me seems like something that would excite a movie geek or critic more than it would a regular viewer

others delight in the ambiguity of not quite knowing whom to root for  while that might distinguish it from a stereotypical american narrative it hardly elevates it to some exalted status to its credit i think the strongest feature of the film is that the director brilliantly manipulates the viewers emotions by superimposing classically sympathetic elements onto the objectively nonvirtuous and indeed villainous what seems relatable and sympathetic in the moment is actually part of a pattern of deeply objectionable behavior while what seems moderately dislikable is actually fairly mundane this incongruity is layered on to brilliant effect

now many are praising the supposedly deep revelatory social commentary on the nature of class struggle but i dont find it nearly as profound as is claimed the overtly sensational absurd plot if anything detracts from the relatability of a social message and the storyline even leaving aside the overthetop scenes that are exaggerated for cinematic effect is chock full of innumerable ordinary lapses discontinuities and implausibilities to the point of distraction more importantly the characters are all minimally developed and characteristic of a onesided view of the world in which people act out their base grievances and fantasies over a veneer of classdeterminant normalcy it strikes me that there is little to no consideration of virtue even in momentary antithesis yet if this is the social revelation then it is a deeply cynical one and also an implausible one because the world is not so onesided and simple for this reason the film ends up revealing very little realistic insight into the human character or social dynamics",3.5,2020-04-12,imdb
there are a few suspenseful scenes and a decent plot along with comedic dialogue but thats it its not a metaphorical masterpiece that some critics and users are saying i feel as though too many people are trying to be expert critics like on that episode of south park where the entire town writes crazy yelp reviews for all the restaurants,2.5,2020-02-27,imdb
parasite is an excellent effort from korean director bong joon ho a talent ive long admired since seeing the host over a decade ago hes had his ups and downs over the years although theyve generally been ups rather than downs but this is perhaps his towering masterpiece its a quiet and reflective work his maturist yet a parable playing out which looks at class divide in a scathing and extremely telling way the issue is universal which is why this film did so well abroad and at the oscars although ive been championing the quality of south korean cinema for a long time the technical qualities are exemplary and the acting is particularly astounding with an unusual storyline building to an unexpected climax a film that thoroughly entertains as well as making you think,5.0,2020-11-01,imdb
"this is a movie about a class struggle in south korea like what movie us attempts to do but done properly it is a stark reminder of what true living standards for most south koreans look like and its realism is very painful few are aware of the fact that up to the 1980s south korea was in fact more impoverished than north korea and it was only late that the situation reversed with famines of the 90s etc but many people still live miserable lives and situation is very similar to that in china where a few got gloriously rich but the urban masses still live in bug infested cheap dwellings

some crafty members of this underclass manage to con contemptuous rich man into employing them as his servants for many asians smell is a way to express utter contempt and this is often directed against the white people who being able to process milk smell like butter and are seen in rac ist light as unclean but the same rac ist contempt is directed towards the poor the poor accept these valuations and fight for the crumbles like roaches in the dark but in life and death situations resentment might boil up and the contempt might cost the rich their empty heads

the movie paints a sad picture of modern east asian societies with many subtle points criticizes their culture and emulation of the america with a few cruel but precise strokes the sheer talent of the korean filmmaker but also the fact that west likes movies from foreign countries that are self bashing allowing the worst condescension rooted in colonialism that failed miserably in east asia to thrive one more reason to cheer this slightly overrated movie",4.5,2020-01-16,imdb
"its so metaphorical is what kevin says when they show him dasongs paint he makes a statement without knowing absolutely nothing about what he is talking about most critics of this movie say exactly that its so metaphorical obviously most know what you are talking about when writing something about a movie i have to be 100 sure that i have understood

its so metaphorical this comment on this movie is quite fair and precise parasite is built on the basis of visual symbolism that for some it will be an easy task to find them and for others a little more difficult because it also does not put this type of visual metaphors in the foreground sometimes leaves it to the publics interpretation and in others simply play with the camera and film techniques to tell us the story a clear example is the first time kevin visits the park house the house is shown in a lowangle shot from the ground showing the superiority of the house and the environment over the character the rain scene in the middle of the movie is simply wonderful the family plummets to its miserable reality and the camera descends in a peculiar way as there are many examples throughout the film the fight over the cell phone in the park house looks like an animal fight the shots in the kims house are closed and in the immense park house they are open and wide a lot of voyeuristic hitchcokian shots and provocateurs of vertigo the symbolic use of the stairs throughout the film something quite coherent since the film speaks especially about the socioeconomic classes and the social and race stairs are some simply steps over others who are the real parasites the kims or the parks",4.5,2020-01-30,imdb
this movie is so masterfully written and presented with a large cast that older audiences will realize how rare movies like this have become its enjoyment comes from getting to know the members of two extremely different families one very poor the other very rich how their lives come together is the wickedly enjoyable first half then in the second half the house of cards begins to shake and finally collapse with a fury we both dread  and perhaps even enjoy though our enjoyment probably has as much to do with the moviemaking skills than with the nasty turn of events in the violent final scenes if you see only one foreign language film this year this should be it exciting and provocative throughout it is wonderfully acted and packed with significance for all who live in a polarized society where so many live in luxury while others live in comparative squalor just a few blocks away deserves all the accolades it has already  and surely will continue  to receive,5.0,2019-11-04,imdb
"there is no shortage of films that depict the injustice of social inequality but originality is scarce with a large proportion of its population below the poverty line it is noteworthy that a filmmaker from south korea has produced a work that has attracted almost universal acclaim parasite 2019generates a great deal of conversation but be warned it is not a film for everyone especially those averse to gory endings

if you step back from the storys twists and turns the narrative premise is simple a family of petty crooks living in abject poverty get lucky as one by one each tricks their way into being employed by the same heartlessly wealthy family in roles like tutor driver and housekeeper the gullible family is easy to deceive while the crooks manufacture various scenarios to their own advantage the occupation of the luxurious home by the crooks adds a new meaning to the concept of home invasion however the plan comes unstuck when they find a secret dungeon that leads to horrific consequences

the film takes too much time in developing the central premise and various subplots and more descriptive prose could be offered here about what actually happens but that is not the point of the film director joonho bong paints an intricate portrait of the normalisation of poverty and class privilege with both sets of family never questioning their place in south koreas social order this acceptance and its destructiveness of the human spirit makes change impossible and condemns korean society to moral bankruptcy

there is more to this film than political discourse as a black comedy it is sprinkled with funny although improbable moments and the filming style expresses the polemic in obvious ways juxtaposing the world occupied by a smelly cramped underclass with the opulent world of the rich is lowhanging fruit",4.0,2019-12-28,imdb
"what an amazing film clearly an essay on the class divide writing lovable but nasty people is tough but perfectly executed here

they quite clearly cross the line and when i mean they i mean bother the working class and the upper class you could easily argue that parasite refers to one family trying to suck another family dry or that the upper class is draining the labour of the lower class and expecting them to be grateful about it too there is also something about the american indian theme a metaphor for dying cultural traditions which are being replaced by modernity nature is dog eat dog or is it a homage to an idyllic past where native american culture was relatively classless

either way a must watch if you can handle subtitles",4.5,2019-08-17,imdb
"this film doesnt allow easy reviewing because it has many aspects many ways to look at is it thriller comedy drama societal critique its all of it and therefore none of it all in all i was underwhelmed and mildly frustrated

the style is there i grant it cinematography is great acting is awkward at some points but its ok because of the partially comedylike nature of this film

but then there is a problem with story telling it builds up nicely toward the middle where the parasites settle in their host and discover the secret down below and then it makes an unexpected turn its alright to make a surprise at the end id even say its good as long as it flows reasonably from the preceding story line a reveal must make sense once it is revealed this one didnt do the job convincingly for me we are given very little clue about why people acted the way they did at the birthday party

this film is just fine but no masterpiece in my opinion some films are so easy to understand to the point of being insulting others are so obscure to the point of being pointless great films do it just right somewhere in this spectrum unfortunately this one is leaning to the pointlessness",3.0,2020-03-04,imdb
"parasite 2019

with the hype around this movie best in ten years i had unreasonable expectations this is a funny almost silly story with great acting and with a couple of twists that make it inventive its also filmed photographed with gorgeous care lots of gently moving camera a lot of planning of shots from one to the next to tell the story visually its an example of classic great moviemaking i thought the acting was especially sharp like the complex job the leading woman yeojeong jo had of seeming a bit ditzy and selfish and yet not completely lost at sea and the rest of the cast played types that didnt tumble into stereotypes the story was smart enough to give them room to be complex but this isnt a probing complex movie actually the content is in the improbable situation and how it leads almost in a chaplinlike building of absurdities to comic tension the cameraman kyungpyo hong deserves credit for sure because he holds the visual structure together in a range of scenesracing down dingy steps a downpour in the slums and graceful geometry in the fabulous house director bong joon ho deserves the praise he is getting that said the next thoughts are more a reaction to the praise its been getting there are more impressive movies out there in various ways even just this year there are movies that have movied me more or made me laugh more or were more inventive im not naming movies maybe since this movie manages all three its notable but ill keep my admiration in place enjoy it",4.0,2020-02-03,imdb
"1this movie is too over rated i dont know maybe it is something wrong with me because so many people appreciates this film superlatively

2 all the characters are pathetically unlikable they only show flaws you dont want to be them you dont want to be with them  not at the beginning nor in the middle nor in the end

3 this lowlife 4member family was at bay and struggled to a barely survived condition the husbandfather was unemployed for a very long time the wife was nothing but a mean heartless woman the son and the daughter had failed the college entry exams for so many times this helpless and hopeless family couldnt simply become a well practiced conartist family overnight if they were such great scammers they would not have fallen so low and so helpless for such a long time they dont have money to afford a dignified basic living standard they would not be possible to suddenly become expert conartist so easy and so soon

4 i dont understand what the intention of the director is what does he want to explain or to prove is it a critic of social inequalities is it a thriller a comedy i dont know and none of these styles is addressed adequately",3.0,2020-04-10,imdb
"this movie is not a masterpiece by any means and all the apparent hype its getting why is it because this is a foreign film trying to be an american film that is trying to be an american genre film

the good
the actors are good
some good cinematography definitely some cool scenes like the flooding late in the film
the twist near the middle of the film is a good twist however its like 50 minutes in and its too late the film is semiboring up to that point


the bad
weve all seen those lessthanstellar films where the criminals make one stupid horrible decision after another not the comedies where its supposed to be funny or dumb but the serious films and you sit there thinking man these criminals are effing morons its just not believable youve seen those right well this is one of those


i could suspend my disbelief over one bad decision even two but every single one its just not believable because the criminals are good at pulling off their cons and getting all employed by the wealthy family but once theyre all in and making buck then they all become stupid doesnt work

the bad decisions start when the wealthy family goes camping and the criminals decide to hang out get drunk and make a mess in the wealthy familys living room even one of them foreshadows the wealthy family coming home unexpectedly by mentioning it as a what if next bad decision is they let in the former housekeeper who shows up unexpectedly really

then the next bad decision is how they handle the housekeeper and her husband once the criminals are being held hostage by the threat of disclosure why wouldnt even just one of them think of trying to negotiate something oh sure one of them eventually does but like 30 minutes later when its too late

the film feels too slow until we get to the twist in the story twist should really have happened within maybe first 30 minutes not halfway through the movie",2.5,2019-12-31,imdb
"parasite hollywood theater 111119

ive seen parasite three times in five days i think something may be wrong with me its just so good even after repeat viewings the hightension scenes still hold so many thrills bong joonho has made a perfect film ive seen it so many times ive memorized the characters lines so i can watch them almost the entire time without having to read the subtitles this made the movie even more enjoyable i just wanted to write some aimless thoughts about the movie pretty much conversing with myself here but feel free to read oh and we definitely get to major spoilers so avoid this if you havent seen the movie

yeojeong jo the performer who plays mrs park is such a gem her hysteria and earnest simplicity make her a joy to watch her face is so expressive and bright there is a scene where she is walking up a flight of stairs and is witnessing her maid have a pretty disgusting coughing fit and the look of sheer disgust and revulsion on her face is so hilarious she is the introductory cornerstone to the relatability and identifiable nature of the ultrarich park family

my favorite character is still mr kim played by regular bong hitter kangho song the way bong directs his performers seems to be relaxed as hes said song would do multiple takes and each performance would be wildly different until he settled into what they felt was right this proved to be a real challenge for editor jinmo yang who would have to composite different takes into each other to make them work for example song may have had an over the top take but jo may have had her best take of that same scene yang would digitally edit the scene to meld them and get the best performances from both actors its seamless to us but to yang thats a lot of pressure personally this was cool to learn because we recently had to do this on a short film i worked on good to know larger productions do this too",5.0,2019-11-12,imdb
"it isnt every day that you come across a movie like this a practically flawless one in my opinion actually i have nothing but praise for director bong joonho and i can now see why this movie has received much hype and praise over the past few months this is a movie which not only shows a contrast between the rich and the poor but also the human condition and the will to survive dont worry this review wont have any spoilers whatsoever

to begin this praise train i have to first and foremost praise the acting of lead actor choi wooshik whom delivered an incredible performance throughout this movie and brings a sort of charm during the first act of the movieanother standout would be kangho song that remains a recurring cast in the movies directed by bong joonho and his consistency in the various movies he has directed absolutely shows why the director has so much trust in his acting capabilities

a transition scene in particular which occurs at the end of the second act is really a beauty in itself and the transitions were absolutely stunning and beautiful which brings me to the cinematography and movie editing of the movie the pacing was consistently on point where everything even the change in tone is seamless along with the cinematography in which this movie is beautifully shot from the aesthetically pleasing rich kid house down to the semibasement house in the suburbs

furthermore another beauty of this movie will definitely be the score which was composed by jung jaeil which manages to convey emotion and tension during the second and third act of the movie which is something truly remarkable through music there are also hints to the sudden sort of change in tone i shall say which begins within just about the middle of the second act of the movie",5.0,2020-01-10,imdb
the film starts off as a lucille ballvivian vance escapade and ends as quentin tarantino drama i guess thats what we call fluidity parasite is terrific the cast is embraceable the actors were recognized by the screen actors guild for the outstanding performance by a cast in a motion picture hurray for parasite,4.0,2020-02-08,imdb
i rated this a 7 yesterday but after a full day of thinking about it i must say its really good slow burn it has everything in it unpredictable and makes you react outloud,4.5,2020-02-09,imdb
"we find the prosperous park family to be the occupants of a slick scandosheek home in seoul korea mr park is a fantastic provider for his family in quintessential korean fashion as a tech entrepreneur his wife and two children seem not to be in want of anymore than they already have despite this his family are precariously vulnerable to social exploitation his youngest son who saw a ghost is now subject to seizures his daughter is a hopeless english language student who only sees her tutor classes as an opportunity to get a boyfriend finally his wife is highly impressionable and not fully competent to tackle the issues of her two children in addition to whatever jobs he has created at work mr park employers a driver housemaid and english tutor for himself his daughter and his wife respectively all of these seem to be happy in their employment

the kims are another family of four but for reasons we are not sure of live in very basic accommodation in a poor part of the city none of the family have solid jobs but it is not explained whether this is due to fecklessness or sheer bad luck despite best efforts lack of ability seems unlikely in their case as we see that they are very clever albeit in a machiavellian way for example they are happier to trick their way into getting paid for doing a bad job then actually folding the pizza boxes correctly

the english tutor at the parks home recommends to the son of the kims to temporarily replace him as tutor to the daughter of the parks on the one condition that he leaves her alone for him to ask out when he returns this soon snowballs into all members of the kim family shamelessly exploiting the park family and their employees their crimes are as follows


forging an official university document and using it to gain employment
exploiting and encouraging the misdiagnosed mental illness of a young boy
getting two people fired by destroying their reputations
stealing food and alcohol",4.0,2020-02-09,imdb
"before i attempt to justify the reasoning for my rating i must provide a disclaimer professing my appreciation for bong joonhos past work snowpiercer was the film that marked him on the map and allowed me to discover his other films which turned out to be every bit as great as snowpiercer was im a huge fan of his and i was extremely thrilled to hear of his unanimous palme dor win hes a great filmmaker and has the experience to show for it and id say winning that award had been a long time coming for him however after my boundless anticipation for this film and finally getting the chance to actually watch it i was inevitably itching with a feeling of disappointment

ive read many reviews of this film all of them flooded with unworthy praise many people have stated that this is one of the best films of the past decade filled with metaphors and allegories which need you to think beyond a certain level as they are manifested throughout others have stated that the film takes numerous twists and turns and unfolds in satisfying unexpected ways leaving the viewer wondering whats gonna happen next the former sentiments mention of metaphors and allegories and the way they are presented in this film have been done countless times over the course of mankinds brief existence and class conflict has been a recurring theme in anecdotes for centuries even before marx introduced his theory yet people still find this elementary concept somehow elusive theres only one dramatic moment that could be deemed a twist in the film which ultimately wasnt that surprising given the endless amount of times this corporeal narrative device has been used since the dawn of storytelling besides that moment everything is utterly predictable i dont understand how people can act like the film is some unprecedented feat which challenges themes never challenged before",3.0,2019-10-03,imdb
usually i dont read reviews before seeing a film this one however i did and happily so first of all it was good to know what cinema in korea is all about we need to shed our cultural biases including how to make films this had a very clever plot and an engaging group of characters the title i assume means the principle figures have managed to infest a body and then use it to sustain themselves i hope to see more from this director in the future,4.5,2020-08-07,imdb
"the film started off well and an interesting concept started developing however  it suddenly turned into mayhem and utter stupidity  it was nonsensical 

yes i got the message about the rich and poor divide etc etc but thats nothing new and just reality  i was disappointed in this movie as id read great reviews it was an utter waste of time ",1.0,2021-12-23,imdb
"this whole film reminded me of 10 clover field lane   it starts out and you think you know where its going  5 turns and 5 wrong conclusions later there you are at the end still wondering if you got it right 

it didnt feel forced or silly  it was powerful  edge of your seat  wanting to know what happens next all at the same time causing you to look introspectively within yourself in situations where you are the parasite  or someone is to you 

great acting  great plot  great twists  worth the time  honestly if i went in with lower expectations it would have been a 9 i was just expecting so much it was hard to surpass that  but would highly recommend to anyone ",4.0,2020-02-01,imdb
"oh man what can i say how do i describe this jawdropping masterpiece in just few sentences

parasite not mistaken with that outstanding anime parasyte is a socially conscious themed film that masterfully wrapped in comedy and thriller its an exciting and surprising ride from start to finish the tone shifting in the second part of the film is done brilliantly eventhough theres so much stuff happening bong didnt lose control of his storytelling

most of the scenes are sure very relatable for many in real life on top of that the ensemble cast featuring my favorite song kang ho deliver a top notch oscarworthy performance

parasite is the worthy winner of this year palme dor and i also hope it will do well at the oscar  best picture worthy for sure

its the best film of the year one of the best ive seen in this decade and for me its arguably one of all time classic",5.0,2019-06-27,imdb
parasite is a fantastic movie that features sympathetic yet morally gray characters and their plight to earn enough money to live despite the awful things the characters do you feel for each and every one of them thanks to the fantastic writing and acting the humour is also fantastic and always lands seriously despite being a drama parasite is one of the funniest movies ive seen all year however the reason why i cant say that parasite is one of 2019s best movies is the ending the ending is so anticlimactic disappointing and dissatisfying it didnt feel like that was what the film was building towards at all however i still recommend parasite as its mostly a fantastic experience that i just wish had a stronger conclusion,4.0,2020-02-08,imdb
this was one of my favourite films great acting i liked the characters and there was lots of suspense,4.5,2020-01-10,imdb
at first sight i gave 10 but being close to the end of the movie i was thinkingno no 10 but 8 because i doubted how they could miss what was with moongwang and then the story mentioned what was with her and i moved back to 10  the whole concept is great from the story music and photography to acting and style next to that is there are many genres in one also in several moments it drives you to think about many things how would you react gives mockery and shows the human nature essentially,5.0,2019-11-22,imdb
in starting 1 hours story is simple but then story make one after one thiller new type of suspance thats make this movie great  this movie can thinking everything many type of question  ending is superlevel,5.0,2019-11-06,imdb
"i had to leave a comment because i have no idea how this movie received an 85 rating 6 range at best as far as korean masterpieces go i thought the handmaiden and the housemaid were far better stories about class the script had tremendous ideas and i was looking forward to them  and then they just dropped off and switched to a new plot it felt very messy there were scenes that had no follow up or no point like they had to fill a plot hole last minute if hours of this film were cut that would make sense it felt like it couldnt decide if it wanted to be a dark drama or a dark comedy if it wanted to be just a family friendly dark comedy you went too far if you wanted to be a intense drama you really dropped the ball it felt like the director wanted to appeal to a wider audience by playing it safe the more i think about it the less respect i seem to have for its artistic merrit absolutely overrated

as im reading throught the miles of reviews im convinced these are westerners who just started watching foreign films this year or theyre all paid the common theme is people seem to think they are incredibly intelligent for having watched this another reviewer commented this is the same exact plot as married with children even down to chicago illinois being a factor just blew my mind and now i have even less respect for the script",3.0,2023-05-12,imdb
parasite is a masterpiece and it is worth all the attention that its getting the script is very flawless and the cinematography captures the beauty of how the production designed each and every place the actors executed their part very well and whenever they speak in english really entertains me and give the mood a comedic atmosphere the whole film is very mesmerizing to watch and how you get to have a light comedy at the start that turned real dark by the end was a perfect blend on how to play the audiences emotions and get them fully engage in watching i gave the film a 1010 because the way they made the film was smooth clean and gorgeous in a way that you could get drowned in the details of every part of it,5.0,2020-01-24,imdb
i found the movie entertaining i was expecting more duplicity and schemes from the kim family once they infiltrated the rich family it moved slow at first but picked up pace towards the middle while i was entertained i was shocked that this movie won the 2019 academy award for best picture over the far superior 1917,3.5,2020-04-09,imdb
a veteran chauffeur his wife and their kid wonders one fluent in english the other an art wiz with expert computer skills and mastermind deception skills are all unemployed  and lives in a scummy basement where they fold pizza boxes for peanuts with wildly implausible easy they con a rich family ridiculous caricatures of rich people who apparently got rich by being soooo stupid into employing them first the son then the sister then the father  you get it  sleepinducing snails pace to the predictable setup where the entire family has leeched their way into the rich peoples home once inside the home the rich family goes on a vacation and the poor family literally start ripping the home apart in a stupid drunken frenzy the old housekeeper which they got rid of in a horrible way causing a dangerous allergic reaction shows up and for some reason they let her in turns out the old housekeeper is keeping her husband in a hidden basement under the house where he has been living for four years best explanation to why is that he is hiding from loan sharks he has been flickering the lights morse codestyle which the small boy of the house has deciphered but he never tells anyone and it is therefore utterly pointless each family now knows each others secret so they are in a stalemate right movie apparently forgets this an instead we end up with a big fight a lot of nonsense a flood then a lot more violence poor father kills wealthy father because of his arrogance towards the poor which have a certain odor then leaves his own two wounded children to die running to hide in the basement he would actually have to step over his son who lies half dead in an enormous puddle of blood in order to get to the basement but i think the director forgot this  add it to the five million other plot holes,1.5,2020-02-16,imdb
after watching the most overrated korean movie ever the burning i almost lost the trust on imdb reviews but this movie put my trust back it has everything comedy  thrilling elements suspense emotional moments satire and each and every actor played their role perfectly it was treat to watch this movie highly recommended just go for it,5.0,2019-10-04,imdb
"i expected a lot from parasite gisaengchung since it won the palme dor at the cannes film festival and because i really like bong joonhos previous films

still it exceeded my expectations its a comedy drama thriller and horror film in one sometimes there are films which you know are going to be liked by people who are film enthusiast but not by the general movie going public who go to the cinema to be entertained i think parasite is going to appeal to both film enthusiasts and the general movie going public

the cinematography and miseenscene are beautiful as it often is in korean films the style is very similar to burning by lee changdong but the story is something else during the first part of the film it seems like a comedy and makes you laugh but then after a while the story becomes more and more serious and eventually turns into a thrillerhorror im not going to say more about the plotstory than that because i dont want to give anything away and because i think you should go into this film without knowing anything

this film is simply a must watch no wonder it won the palme dor",5.0,2019-09-29,imdb
the suspense drama accuracy with the real life visually amazing its just beautiful,5.0,2019-11-11,imdb
a 2019 south korean film that shows the contrast between two families from different spectrums of the hierarchiesclasses and the how individuals can turn into parasites the film also blended both comedy and dark disturbing tones very well while also delivering stunning vissuals of the use of camera work done masterfuly,4.5,2020-01-24,imdb
this movie lives in this time an amazing sweet thriller movie great in every single part of the seventh art especially in dialogues which are great no formality in them characters talk like ordinary people act like ordinary people they feel happiness they lose temper they succeed and they fail and after all of these for converting a good movie to a great one you need to be in front of audience i mean the movie should conflict the audience mind and show them some facts in this case facts are some of the most important ones in our modern life they are about class distinctions which is the difference between rich people and poor people that is getting larger every day and it is the greatest problem in my society finally when you finish watching this masterpiece ask yourself who is the real parasite the poor family or the rich one which are sucking their stinky blood,5.0,2019-09-04,imdb
