rating,date,content
5,dec 15,"Unforgettable. One of my favorite movies that I’ve rewatched multiple times and never gets old. Evokes so many emotions from joy, to sadness, to unnerved and more. most importantly, the movie has a powerful message. 10/10 recommend"
1,dec 15,"This movie doesn't have a great plot when you think about it. The filmography is great, the acting is good enough, but if you lifted the plot of this movie out of the trappings of it's high production value, it stands to reason you would be bored out of your mind. It sort of makes me think it was written as a comedy initially and then someone just wanted to change the ending. Let's simplify: Let's say Woo is our main character. Does he learn anything? Does he change in anyway? Is he less likely to be a fraudster in the future? Nope, not really. And all of the nonsense with the former maid. None of it actually changes the story. If you replace the husband of the maid with any random person, the movie would fundamentally not change. There are plenty of people within the story: the driver, the mother, a the pissing homeless person - who could take the place and the movie would be the same. Just another high production movie that demands praise for blowing money."
5,dec 9,"Greatest movie of all time fight me on that the message portrays in amazing context and ways, I love the message itself since it’s from the poor and the rich. It’s amazing how they include elements to explain it."
5,dec 4,Powerful!!! One family lives off another causing harm. A parasite!
5,dec 3,"""Parasite"" is to simply put - the best South Korean movie i have ever seen. And i saw more then few of them and really loved them - i think that this country makes best movies in Asia - in my personal opinion. ""Parasite"" is nothing short of a small masterpiece. It is a stupendously entertaining movie that ""hooked"" me from the first 45 seconds till the last frame for its entire 2 h 9 min running time - i was blown away of how amazingly crafted, acted, written and directed this movie was in every scene. The story was fresh and unique and universal. You can throw a rock at me if Hollywood won't remake this movie with some very well known actors in near future - it is a pure diamond in a movie market. Overall, ""Gisaengchung"" is by far one of the few best movies I've seen this year. It is unusually entertaining and involving story that shows of just how there are big differences in our society, between poor and rich. It's a universal theme. And this movie is a universal treasure."
2.5,2026.11.26,"Overhyped, decent but not anything special."
5,2026.11.26,"One of the best films in recent years. Funny, action packed, surprising and with a point. Plus it looks great."
5,2026.11.23,"I remember watching this first time and not being a fan of it. So after almost 6 years after the release I gave this Movie a watch again since I couldnt remember anything of it. This absolutely blew me away, when I saw the ending I was speechless, it was just sad and absoloutely shocking at the same time and the one iconic scene with the man walking up the stars, while the boy is eating his cake, sends you shivers down your spine. Im glad I watched this Movie once again because this gave me a whole other portrait of this Movie, this is a masterpiece."
4,2026.11.22,Will need a good understanding of both movies and social life. great movie btw.
5,2026.11.20,Best movie of all time.
5,2026.11.20,Definitely his masterpiece. And everyone you talk to loves this movie. I love this movie. Meant to be watched again and again.
5,2026.11.13,"So many genres in one film with such a complicated, sharp critique of the impacts of classism and inequality on one’s humanity."
5,2026.11.12,"Bong Joon-ho’s Parasite represents a paradigmatic breakthrough in contemporary global cinema, an incisive exploration of class, capitalism, and human duplicity rendered with both stylistic audacity and narrative precision. The film’s meticulous mise-en-scène transforms the domestic sphere into a symbolic theater of socio-economic tension, where architectural design, spatial hierarchy, and visual composition become instruments of storytelling as potent as dialogue. Each performance, from the parasitic Kim family to the oblivious Parks, oscillates between caricature and startling verisimilitude, sustaining a tonal dexterity that shifts seamlessly between dark comedy, suspense, and moral horror. Bong’s screenplay interrogates systemic inequality with surgical wit, exposing the grotesque absurdities and inevitable tragedies that emerge from entrenched social stratification. Parasite is not merely a cinematic triumph; it is an intellectual and aesthetic reckoning, a work in which the personal and political, the grotesque and the elegiac, coalesce into a singularly compelling meditation on the human condition—a film that justifiably reshaped the international cinematic landscape."
5,2026.11.10,"From the darkly comic to the deeply tragic, Parasite has everything. Designed as a masterful combination of drama, thriller, and black comedy, it tells the story of two families from completely opposite worlds — one poor, one rich — whose lives intertwine in unpredictable and unsettling ways. If you’re looking for something intense, thought‑provoking, and unforgettable, it’s definitely worth seeing this film. As a movie fan myself, I was really delighted to watch such a fascinating mix of humor and suspense. The first thing that caught my eye was the film’s perfect balance between realism and symbolism. Initially, I thought it was simply satire ridiculing the big gap in social inequality, but actually it turns into a gripping psychological thriller that keeps you guessing. Among all the elements of the film, there are some truly intelligent ideas too, like how the director shows social inequality and moral corruption through space and architecture. My personal favourite? The shocking twist halfway through the film — brilliant and haunting. If you like movies that combine strong storytelling with sharp social commentary and creepy moments, Parasite is an absolute must‑see!"
2.5,2026.11.09,Too dark for yours truly.
4.5,2026.11.06,Everything you heard about this film is true....its amazing!
4.5,2026.11.03,Very good movie. Would like to watch again. 87/100
5,2026.11.01,"Fascinating , engaging , imaginative story !"
5,2026.11.01,"Amazing, watched it twice. Did not watch the blak and white version. Not artsy enough for that and to appreciate it."
4.5,2026.10.30,"wow, this is incredible. glad i finally got around to it"
5,2026.10.30,Best movie of all time
5,2026.10.29,No spoilers. Haven't seen a movie this good in a hot minute. This one was worth a watch to say the least. No critique.
4.5,2026.10.28,"I really really loved Parasite, and it's definitely up there in my top 5. I mean, what more do you want from a movie? Amazing soundtrack, amazingly creative and sound plot that gripped me all the way to the end, amazing acting from an amazing cast and an amazingly twisted ending. The reason why this review is so short is because I literally have nothing else to say about it. Not gonna spoil anything if you haven't seen it, so go watch Parasite."
4,2026.10.28,"I really like the dynamic between characters but as the story builds it gets a little to dramatic for my taste (like a transition from drama to hysterics and splatter), but I remember thinking the same when watching Korean movies earlier."
1.5,2026.10.26,"Save your time for something else. Can't belive it won an ocar for best picture. Plot goes no where, characters don't develop. I lkied the architecture fo the house. Seriously that is the best thing in this movie."
5,2026.10.26,"An intelligent and absorbing film, one that stays in your memory"
5,2026.10.24,Adore this film. What a movie should be.
5,2026.10.12,Amazing piece of cinema.
5,2026.10.08,Masterfully suspenseful
5,2026.10.04,one of these movies you can’t forget about. and i definitely don’t want to forget. everything here is perfect.
1,2026.09.24,"I dreaded watching this but I wanted to understand the feeding frenzy over this vulgar stupid movie. Each character was unattractive & unlikable in his (or her) own way. The plot was absurd. I can’t think of anything that could’ve made this boring meditation on sociopathy come to life The inexplicable, over-the-top violence is a substitute for character development. The characters are all the same. There’s nothing positive to recommend wasting two perfectly good hours watching this disgusting sensationalism with neither message nor plot"
4,2026.09.20,Just go for it absolutely best movie from South Korea every department goes well in this movie
5,2026.09.20,Ye people may live in my walls too… Peak Content 🧌
4.5,2026.09.20,"Really good. Would recommend. Good acting and kept me gussing. Ending was annoying. If the dad hadnt lost it they could have gotten away with it, pinning the murder of the wide and attack on the crazy husband."
5,2026.09.13,"It started light and funny but turned so intense and shocking—I didn’t see that ending coming. Smart, gripping, and it sticks in your head long after."
5,2026.09.12,"Parasite is a brilliant psychological thriller that explores class disparity through the story of a poor family who deceitfully infiltrates a wealthy household. As their manipulation deepens, the film reveals both the absurdity and tragedy of blind trust and social inequality. With its unpredictable plot and morally grey characters, Parasite delivers a sharp, thought-provoking critique wrapped in dark humor and suspense. Read the full review here: (Indonesian version : alunauwie.com)"
1,2026.09.10,"The movie is too generic, having nothing to offer. every event is predictable and that's all."
4.5,2026.09.08,"Fantastic story, performances and cinematography. This movie was great and kept me glued to the screen and on my heels from start to finish."
5,2026.09.02,"This is a work of Art not a movie, absolute masterpiece!! Engrossing, shocking, emotional and raw....a must watch."
5,2026.09.01,Top 10 all time for me. I have never seen a movie so good like the parasite.
5,2026.08.31,"Parasite is extremely engaging, has a great build-up to the chaos, and has 1 or 2 really shocking plot twists that seem possible in real life."
5,2026.08.31,Absolute Cinema Bong never miss..
5,2026.08.30,A Haiku Review: Heartbreaking portrait Of class struggle compromises Beautifully shot
5,2026.08.29,Parasite is a remarkable film that really speaks to the nature of capitalism and the ever growing divide in class between the rich and the poor. The story of the movie sets it's footing and keeps climbing it's stairs all the way to the heights of the end beats. I am 100% certain this movie will be even better on a 2nd watch. GO WATCH THIS MOIVE RIGHT NOW!
3.5,2026.08.25,"An entertaining black comedy, yet with a less plausible plot, where a whole family just too easily goes from folding pizza boxes to completely taking over a wealthy household."
4.5,2026.08.23,Not much to say its just good
4.5,2026.08.23,"SPOILER ALERT I'll start by saying that this film is intelligently written. It was a hilarious black comedy and was well on its way to being a masterpiece in my eyes, and then came the final act. It went from black comedy to full dark tragedy with an ending that was all over the place. I'll admit, this picture is too well-made to not be considered a great film, but it deserved a proper ending. Something definitive. This ending just did not work for me. It was certainly strange, but not in a good way. It was not boring, I'll say that. It just lacked a proper resolution. In my humble opinion, this movie could have ended in a number of ways and still would have been a masterpiece, but the way it ended seemed more like a collage of unfinished ideas. No matter how I feel about the story's end, I most definitely recommend this one. 92/100"
2.5,2026.08.19,I mean I’m glad I watched it because at least I know I didn’t miss out on anything.
5,2026.08.05,Yeah this movie slaps right here
5,2026.08.01,If you’re going to watch any foreign movie this should be the one.
5,2026.07.25,"I love this movie so much. I was so into it I literally forgot to breathe. Everything the vibe, the characters, the scenes, the lines just felt perfect."
1,2026.07.21,"I genuinely have no idea why this movie is so popular. The acting is good, but the storyline and plot are boring. This movie is fuc*ing boring. What is wrong with people?"
5,2026.07.21,Fantastic. This is a great movie.
5,2026.07.20,"Parasita te fisga já nos primeiros minutos e não larga até o último frame. Bong Joon-ho mistura comédia e drama com maestria, mostrando a família Kim lutando por cada centavo enquanto cai de cara no universo luxuoso (e cego) da família Park. O contraste social é exibido de forma afiada — ora absurda, ora dolorosamente real — sem cair em moralismo. A narrativa é construída como um relógio suíço: cada detalhe aparentemente trivial no começo volta com força total para amarrar o clímax surpreendente. A sutileza das piadas, aliada à tensão crescente, transforma o filme numa montanha-russa emocional. E, por baixo de tudo, pulsa uma crítica social poderosa, que expõe as fissuras da desigualdade sem soçobrar em discursos óbvios. Com atuações impecáveis, direção cirúrgica e um roteiro que equilibra tons sem titubear, Parasita não é apenas entretenimento — é cinema feito para incomodar, divertir e deixar a gente pensando por muito tempo."
5,2026.07.19,I’m so glad they added that ending cause SPOILER ALERT I would not have been able to stand it if they ended the movie right at that garden scene
5,2026.07.18,"Story is brilliantly woven, almost rhythmic like a sharp jazz drum solo. The film reveals that human flaws aren’t born from wealth or poverty, but are magnified by both. A blend of style, substance, and unsettling truth. Fun as hell from start to finish."
5,2026.07.18,Amazing and interesting all the way through.
4.5,2026.07.17,Great movie with great acting and makes you feel on edge the whole time and is surprisingly tragic
5,2026.07.17,"Really great film, I was on the edge of my seat the whole time."
5,2026.07.11,"I believe Bong Joon Ho has become a master director. The first film he directed and that I saw was Parasite. I was blown away by his directing, the production, cinematography and acting. A S. Korean friend who also enjoys Parasite told me that the class differences, their style or ability to live is spot on. I have watched this film many times, and will watch it many more times in the future. It is in my personal top 10 foreign film list."
5,2026.07.10,"I think about this film quite often,it is that good."
5,2026.07.09,A cinematic masterpiece. It is perhaps the most perfectly-paced film of all-time. The story remains both compelling and elusive throughout. The plot is like a Russian nesting doll unfolding one twist after another. A truly perfect film.
4.5,2026.07.09,"This movie was unexpectedly a masterpiece and also smartly funny and really well executed. I can’t really say anything cause this movie is just straight up a masterpiece and a must watch experience. I recommend you this art, it will blow your mind"
5,2026.07.09,I was on the edge of my seat the entire time. Bong Joon Ho and Song Kang-Ho are AMAZING. One of the greatest movies I've ever seen.
4.5,2026.07.08,Never does a home play a leading role like the architectural masterpiece in Parasite. A home doesn't make a family; only people can. Mental illness doesn't discriminate between socio-economic classes. This isn't a Disney movie; especially ending.
0.5,2026.07.07,"I am baffled why this movie was given so much attention. I couldn't even get past the first 35 minutes which were very slow going. I had absolutely zero emotional investment in the characters. When I look at audience reviews on this and other platforms, they seem over-the-top to the extent that it makes me wonder who was paid off and how. Nothing against the actors or the direction. It's just that there are so much better films."
4.5,2026.07.07,A very good film. I enjoyed every minute of it.
0.5,2026.07.06,"This movie has such high ratings, but I tried streaming it twice and abandoned it twice."
5,2026.07.05,An original masterpiece of storytelling. This was a super fun watch. Although it’s in a different language than my own I enjoyed it greatly.
5,2026.07.04,Great masterpiece 👌
5,2026.07.02,Great film. The last 25 minutes is astounding! Simply a masterpiece!
4.5,2026.07.02,"The story builds so well that when the chaos finally hits, it feels earned and unforgettable."
5,2026.06.30,One of the best movies ever produced.
5,2026.06.29,"One of my favorite movies and I don’t think recency bias will change that. It’s just one of those stories that is super original, contains a lot of metaphors, and keeps you wondering what will happen next. I went in with zero context and loved it. Also saw this in black and white which was cool I guess? Saw it again at home in color and it was even better."
5,2026.06.25,Good movie with great themes of classism. Definitely recommend. This is probably a career peak for the director
5,2026.06.22,Best Foreign movie I have ever seen Bong Joon Ho did it again
5,2026.06.20,"A superb film that makes you grateful for what you do have. You find yourself feeling the emotions the characters experience throughout and thinking about your life and where you can relate within the film. It's well written, beautifully acted and extremly thought provoking. Cinematography is excellent as well."
5,2026.06.17,"Ok, I was skeptical that a foreign film won Best Movie Oscar? This movie= Weird, but in a super cool way, almost like a David Lynch type film. Ultimately it's a Very Sad movie. I've seen other Korean films and though they usually are ok- they don't compare to American movies, this one, just based on it's originality and story, deserves the 5 stars- I don't give many that. The acting was good and not too hokey which Korean acting can be at times. The dialogue was good, some of it funny, and it's nicely directed and shot. Korea is Now, what America will be in 50 years- poverty and suffering so a few people can have everything they want. I'm gonna ruminate over this today and it's obviously going to stay in my collection. Great Film."
5,2026.06.05,Wish I could give it ten stars!
4.5,2026.06.04,This movie proves that Bong Joon Ho is a GENIUS!
5,2026.06.04,I ain’t got much to say that hasn’t been said already.
5,2026.06.03,Watched it with my brother and we can't get over how good and gruesome it is in it's nature. A MUST WATCH.
5,2026.05.30,This is what great Cinema looks like Phenomenal acting and direction and brilliant in all the technical aspects. But the storyline and underlying message make it a masterpiece
5,2026.05.22,Black humor that comes with a dreary tension
0.5,2026.05.17,Do yourself a favour and scroll past this movie. Total rubbish!
5,2026.05.16,Incredibly good! Of my favorites of the last decade.
5,2026.05.14,"great movie and story, got me hooked to the screen..."
5,2026.05.14,Una obra de arte espectacular película me dejó sin palabras
4.5,2026.05.14,One of the best films of the decade.
5,2026.05.13,o sistema é foda.
5,2026.05.11,"The first Korean-language movie to win the Academy Award for Best Picture!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Success in 2 hours and 12 minutes!!!!!!!!!! LOL!!!!!!!!!!!!!!! The USA grossed over $53,700,000.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
5,2026.05.10,"Loved that movie, I hadn't seen the trailer before and it was a complete surprise! Climax, direction, writing, everything is incredible!"
0.5,2026.05.07,"Could have been enjoyable, if it wasn't so tragic"
5,2026.05.04,"I watched this movie a few times now and keep on being amazed by the story line, production and the downfall of being greedy"
5,2026.05.02,A beautiful film that brings you on a fun journey then leaves you stunned and introspective. My #1
5,2026.05.01,Vaya obra maestra
4.5,2026.04.18,"It's a bit overrated but 200K people seem to think this movie was the best movie of the 21st century. I've watched a lot of Korean revenge movies and this was probably not at the top. However for awards purposes I can see why it is ranked so high, Korean movies/shows were never really publicized until recently. Look at Squid Game, the reason it got global publicity was because of Netflix. Without Netflix it never would have gotten so much fame."
5,2026.04.18,"All Time Classic. The editing and pacing are masterful. It reminds me of something that Hitchcock or even the Coen Brothers would make. It's extremely witty, has really good dark humor, and has tons of underlying commentary about poverty and a two class society and the different human expierence by each and how those worlds collide. It's an extremely intelligent thiller. The cinematography is first rate as well. The shots inside the house, deep focus, lighting, and direction are all just masterful. Everything else is really good. Never really seen something like this. Everyone should should give this a try once."
5,2026.04.16,Just an incredible movie which shows the different lives between different households. 1 poor and 1 rich. And Bong Joon Ho's directing is just incredible. Deserved every Oscar it won.
5,2026.04.09,"a great movie in every way, an even better plane movie. But don't get scared away by it being in a different language it still is a perfect movie."
5,2026.03.26,"Totally deserves the 4 Oscar awards it has won. Took me a while before I finally saw it, masterpiece! Watch it without reading any more info about it. Dont watch the trailer. I didnt and it was full of surprises for me."
5,2026.03.25,"Downloaded this on the plane, thought it would suck... Might be one of the best movies I've watched."
4,2026.03.24,"Hey, I just wanted to give you a heads-up that this review might contain some spoilers for the movie ""Parasite."" The movie starts with the story of the main character's family. They live in a small basement room and aren't very healthy. They make a living by folding pizza boxes, which isn't a very well-paying job. Their financial struggles are so big that they turn to public insecticides, administered via wifi, and have to use them inshared spaces.Money problems also mean that they can't go to college.But then, the protagonist meets someone who helps him and his family move in with a rich person. His initial job as an English tutor, where he gained his teaching credentials, was followed by his rise to a professional position as an art instructor, a role that also required him to get his teaching credentials, since his sister, who was also his art instructor, didn't have much money.Despite the lack of financial resources, the hero's creativity and methods won over the mother and child.It's heartwarming to see how he found his way to become a loving art instructor. Then, the father allowed him to become a driver, which he did with a clever plan. The film is full of moments that shed light on classism, like when the rich mother hits the car seat with her foot or when the rich father pretends to smell the hero's father.There's also a conversation between the rich husband and wife about the driver's body odor, drug trafficking, and underwear in the car that looks insulted. It all builds up to a point where the hero's father feels so insulted that he has to stab the rich father to death. Thoughts from this movie In our world, people who don't have a lot of money often have to work really hard to take care of themselves. It's more important for them to think about themselves than to think about other people. Even when we plan everything life doesn't always go as we'd hoped, as the hero's father learned the hard way. It's important to see challenges as chances to grow, like when the hero decided to become a tutor in a rich family to boost his family's finances and used his cooking skills to help out. But, as we all know, being greedy can sometimes bring about our own downfall. And that's exactly what happened to the hero's family. Their greed and the actions that followed led to a heartbreaking outcome. Overall of this movie This movie is a really great example of how different people's lives can be. It shows how the lower class and the upper class live, and how they feel about each other. It's a really interesting story that keeps you hooked for almost two hours. It's not a story with a lot of characters, but each character has their own interesting story and history. There are also clues throughout the movie that you have to look out for."
5,2026.03.23,Perfect from start to finish! It’s been my favorite for years.
3.5,2026.03.23,"Good movies, but NOT Best Picture great. The social commentaries are spot on, pacing is good, ending is phenomenal, however still lacks that quality of memorable from a great movie like dialogue, memorable characters and overall feeling left once seen."
4,2026.03.22,"Very good film. It describes the different life style of the 2 families ver well. My only negatives are there are a couple of scenes which weren’t needed as much, but overall, very good."
5,2026.03.22,Parasite review I love this movie it’s so funny and so messed up but kelp me entertained 5 star 10 out 10 star 100 out 100 star
5,2026.03.19,"Engaging and conniving. The movie shoes that you need need explosions and CGI to tell a story that keeps you hooked. There's enough truth and caricaturizing in each character, so that everyone is important to the story. Don't spoil your first view by reading the plot or watching trailers. Just watch it and you'll be satisfied through and through."
5,2026.03.18,"I thought this movie was brilliant. I'm not usually one for closed captions, but this one is well worth it!"
5,2026.03.12,"There is one word and one word only that describes this film and its essence, and that word? ""Perfection"" is that word. I genuinely couldn't find ONE flaw in the film, from cinematography, to wide shots, acting, looks, side characters, this are very few movies that I can 100% say, is AMAZING and PERFECT, and this is one, you've done yourself a distaste by not watching this film"
0.5,2026.03.10,Didn't make it 30 minutes they first 29 were so painfull. This might be the worst movie ever made. Completely unwatchable.
5,2026.03.09,Incredible!! Defiantly recommend!!
4.5,2026.03.07,Classic modern day cinematic roller-coaster. What a joy to ride.
5,2026.03.06,"This movie has two experiences: that when watching & when remembering. For the first, I felt it's pace slow. But, like the title, it's impact grew within me and lingers still."
5,2026.03.04,"Magnificent ! A film that does what very few modern films seem to be able to do: make a highly entertaining film where the social messaging is apparent but it doesn’t overwhelm the rest of the experience. Edgy, dark, funny and devastating."
5,2026.03.02,Perfect Film!!! Simply a Masterpiece!!!!
5,2026.02.27,"Brilliant and razor-sharp social critique disguised as a thriller, balancing dark humor, tension, and drama with absolute mastery. Gripping story that exposes class struggles in a way that feels both universal and deeply unsettling. The film constantly shifts tones and keeps you on edge, making its message hit even harder. In a few words, it’s a cinematic masterpiece that sticks with you long after the credits roll."
2.5,2026.02.26,It was ok. A bit overhyped IMO. I didn't find any of the characters particularly relatable or likable. The Host was a much more entertaining film by Bong.
4.5,2026.02.25,"Great acting, movie was super interesting. Thought the scheming and the characters felt realistic. Was interesting to see a different world dynamic struggle between the poor and the rich. Top 5 of my movies this year and I wish I had seen it sooner."
5,2026.02.20,I have seen this movie so many times and I never get bored of it. I absolutely recommend it!
5,2026.02.20,"A wild story where you find yourself rooting for the villainous underdog. Parasite showcases the divide of classes in South Korea, which is familiar worldwide. Beautifully shot film with lots of heart, suspense, thrills and laughs."
4.5,2026.02.19,Bong Joon Ho is quite brilliant. It’s the class levels that are becoming the greatest divider of society. Wealth doesn’t insure dignity and class.
5,2026.02.13,This masterpiece about social classes was so intense in the IMAX theater!
4.5,2026.02.13,All time greatest! Had all the feels...literally all the feels
5,2026.02.12,love a film that respects its audience. There are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats. There are a lot of layers to this film and I suspect for this reason its rewatch-ability factor will be very high.
5,2026.02.11,"I believe it is wonderful how the director is able to transform a seemingly normal beggining into a tenseful film that catches your attention fully. I also must applause the form the movie uses ""unharmful"" scenes to do so, in a way that, little by little, you understand the feeling of complete tiredoom from the poorer family. Absolutily unsettling and extraordinarius!"
5,2026.02.11,"Third act was rough, just like every Osgood Perkins movie, but this one has something the others don't, which is incredibly gory deaths and impeccable comedic timing."
1.5,2026.02.11,"I was advised to watch this without learning anything about it, that's what I did, no summary, no trailers. I only knew it won Best Picture so my expectations were high. Unfortunately I was let down big time. I expect to care about characters, I did not care about these. There was no one to root for, no hero, no attachment at all. It was like watching your neighbor's life that you couldn't care less about, drag on and on, until you realize in this case, that the twist and resolution was not meaningful either, as if the writer needed a conclusion and asked around for the most ridiculous ideas, then simply chose one and wrote it in. One review characterized this film as ""vapid"" and I fully agree. A good movie will at least move me emotionally in some way. This didn't do that either."
5,2026.02.10,Uma loucura de bom. Me surpreendeu o desfecho. Simplesmente amei.
5,2026.02.10,Loved it the first 4 times I originally saw it in the theater. ow eve better in IMAX. Keep re-releasing great films like this and I will show up at the theater every week!
5,2026.02.10,A family of con artists. Filled with twists. An all-time favorite. “Does dripping his sperm on my seat turn him on?”
5,2026.02.10,JUST GO SEE IT IN IMAX
5,2026.02.10,"Parasite is the perfect entry way into foreign film. I watched it for the first time during my second year of college. Since Parasite, I have been released into a new world of artistic cinema. The captivating use of lighting, environmental framing, and metaphorical ark makes Parasite critical to the dedicated audience."
5,2026.02.09,"Third time watching this film. Incredible. Thrilling, thoughtful, meticulous. Love it."
4.5,2026.02.09,"This movie was amazing, I think you should watch it if you like thrillers that reflect on society and has something new at every turn"
5,2026.02.08,Bong Joon-ho knocked it out of the park with this one. Seeing it in IMAX was especially powerful. Highly recommend.
1,2026.02.08,Boring and stupid. Waste of time.
5,2026.02.08,One of the best films of the decade.
4.5,2026.02.05,"A good example of fiction that inspires introspection, shows social commentary, but also doesn't skimp on dynamic entertainment. In a sea of movies that go through the social media fame and come out the other side as overrated, Parasite sustains its worth."
3.5,2026.02.03,"It’s a compartmentalized concept, somehow expanded to be grander than it needs to be, but it works… and I’m not really sure why."
5,2026.02.01,"indeed capitalism made us parasite in some way. love the plot it's actually a crazy one, cinematography and screenplay is amazing truly deserved the Oscar win for International Film Feature and Best Picture! please produce more films like this one, love it sm!"
5,2026.01.30,"In the year 2019 it has been a very busy year for films that actually have a seal of approval of films I've watched at that year. Some of which I haven't reviewed apart from three of them such as Little Women, The Gentlemen, Joker, The Irishman, Marriage Story, Uncut Gems, Toy Story 4, Once Upon a Time... in Hollywood, John Wick: Chapter 3 - Parabellum and Avengers: Endgame, now we have a film which is a foreign film that many people including myself really, really love and we'll cherish it forever in years to come and that foreign film is got to be Parasite. Yes, Parasite, one of most anticipated films of all time and one of the memorable ones out there. Many people had difficulty watching it without knowing what they're saying but the subtitles can help them understand and since that this is another foreign film I reviewed I think I should be doing more if I had the chance. The Kim family lives in a semi-basement flat (banjiha) in Seoul, have low-income jobs, and struggle for money as they're all unemployed. Min-hyuk, a family friend, gives the family a scholar's rock meant to promise wealth. Leaving to study abroad, he suggests that the Kims' son, Ki-woo, lie about his education to take over his job as an English language tutor for Da-hye, the daughter of the rich but naïve Park family. After his sister Ki-jung helps create a false certificate for him in Photoshop, Ki-woo, posing as a Yonsei University student, is hired by the Parks. Moments later, Kim's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until something goes wrong. What makes this film so great is the its masterful blend of social commentary, suspenseful storytelling, complex characters, exceptional cinematography, and a tightly woven plot that explores the stark realities of class inequality, all delivered with a unique blend of dark humor and thrilling twists, making it a thought-provoking and engaging cinematic experience for viewers from diverse backgrounds. I'll be very honest here, it's not for me doing this review. There are millions of people who actually and giving it highest 5 star or 10/10 making it a much more worthy film even for a foreign film like there are many foreign films that really deserve more praise and never overlook them as a miss and this one is not because it's been loved by so many who love it even this film is on the list of films in Rotten Tomatoes, IMDB, Metacritic, even Letterboxd and I've been thinking: ""Is there any of me doing this review?"" and I know what's done has to be done just like I have to do a lot of movies I'll be doing next time, many which that are great and some of them are bad I have to rant to make you laugh. Like this movie here which is darkly comical unexpectedly. Even if you can understand the ending and everything about this film is immense. With many words to describe this movie, you know exactly what I mean so with that said, Parasite is one of the best films and best foreign films of 2019."
5,2026.01.29,"There are just a few directors that have accomplished such a complex and unique combination of feelings, genres and twists, all of these in one movie. Bong Joon-ho did it, and he did it great. It's a movie about capitalism. About that intrinsic sense of belonging and owning, in societies so different, but so alike at the same time. The chemistry and behavior between the characters and their ""plans"" will keep you on the edge of your seat. You will ask yourself through the whole movie, who is the ""parasite"" of the story. A closer look at a family living in some unfortunate conditions and the contrast with the upper class, and how far will they go to have whatever (they think) they need to be happy."
3.5,2026.01.24,حلو بس مش واو 70% تقييمى
5,2026.01.23,A masterful movie in every way
